,tmed,velmedia,presmed,fecha
2600,18.6,0.8,956.8499999999999,2014-10-13
2604,15.8,2.2,957.1,2014-10-14
2608,17.711111111111112,2.5,959.15,2014-10-15
2615,21.2,5.3,960.15,2014-10-16
2619,20.4,5.0,963.8,2014-10-17
2620,21.2,4.7,966.7,2014-10-18
2625,22.0,0.8,969.55,2014-10-19
2630,20.0,0.6,969.55,2014-10-20
2632,19.1,4.4,973.0,2014-10-21
2636,12.2,6.7,975.9,2014-10-22
2643,13.8,2.8,971.7,2014-10-23
2644,17.5,1.1,967.35,2014-10-24
2650,19.0,1.1,968.95,2014-10-25
2654,18.4,0.0,969.4,2014-10-26
2659,15.0,0.3,968.1,2014-10-27
2660,16.7,1.1,964.6500000000001,2014-10-28
2664,17.711111111111112,1.4,966.1,2014-10-29
2668,16.6,0.0,969.6,2014-10-30
2675,14.5,0.8,970.95,2014-10-31
2676,14.4,1.1,970.75,2014-11-01
2681,13.4,1.7,966.4000000000001,2014-11-02
2684,13.7,5.0,954.1500000000001,2014-11-03
2689,9.6,3.3,948.75,2014-11-04
2694,8.0,3.9,956.75,2014-11-05
2698,9.4,0.6,961.2,2014-11-06
2702,10.2,1.1,960.95,2014-11-07
2707,9.6,0.8,959.2,2014-11-08
2710,9.9,1.9,957.4,2014-11-09
2712,8.4,2.5,957.8499999999999,2014-11-10
2717,10.2,5.8,951.05,2014-11-11
2721,11.6,1.9,955.2,2014-11-12
2727,12.4,4.7,955.85,2014-11-13
2728,11.7,1.7,952.2,2014-11-14
2732,11.3,2.8,954.45,2014-11-15
2736,10.2,4.4,955.75,2014-11-16
2740,9.8,1.9,956.7,2014-11-17
2744,8.7,1.1,959.3499999999999,2014-11-18
2748,11.2,0.0,963.2,2014-11-19
2753,11.6,1.4,966.7,2014-11-20
2756,12.9,0.6,965.75,2014-11-21
2760,13.8,0.3,963.7,2014-11-22
2767,15.5,5.3,962.3499999999999,2014-11-23
2768,15.8,1.4,965.35,2014-11-24
2775,13.7,0.8,964.1500000000001,2014-11-25
2777,12.0,1.1,959.3,2014-11-26
2781,11.1,7.2,947.9,2014-11-27
2787,14.0,8.1,939.95,2014-11-28
2790,12.4,0.8,946.25,2014-11-29
2792,13.0,5.6,950.3499999999999,2014-11-30
2798,8.8,6.4,954.4000000000001,2014-12-01
2801,7.8,6.4,958.9,2014-12-02
2804,7.0,5.3,959.8,2014-12-03
2810,5.5,1.7,960.75,2014-12-04
2814,5.4,2.5,966.65,2014-12-05
2819,3.6,5.3,971.5999999999999,2014-12-06
2820,5.5,3.9,974.2,2014-12-07
